# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	40058
#@/user_id	stella
a 	啊	c=69 d=3.31908 t=40058
an shi 	氨式	c=2 d=1.6416 t=40058
an shi chi fan 	按時吃飯	c=1 d=0.109154 t=40058
an shuo 	按說	c=1 d=0.000480828 t=40058
an suan 	氨酸	c=1 d=0.373439 t=40058
an wei ji 	安慰劑	c=0 d=4.71629e-13 t=40058
an wei ji xiao ying 	安慰劑效應	c=1 d=4.73992e-12 t=40058
an xi 	安息	c=0 d=0.0202909 t=40058
an xi suan 	安息酸	c=-1 d=3.08232e-08 t=40058
an xia 	按下	c=1 d=0.0224829 t=40058
an xin 	安心	c=1 d=0.529935 t=40058
an ye 	暗夜	c=1 d=0.000127168 t=40058
an zai 	安在	c=0 d=5.45314e-15 t=40058
an zhao 	按照	c=24 d=2.18902 t=40058
an zhao bu tong shi jian ji bu tong ren qun te zheng 	按照不同時間及不同人羣特徵	c=1 d=1.70067e-12 t=40058
an zhi 	安置	c=2 d=0.2011 t=40058
an zhong 	暗中	c=1 d=1.2254e-09 t=40058
an zhuang 	安裝	c=30 d=4.07044 t=40058
an zhuang bao 	安裝包	c=4 d=0.673624 t=40058
an zu 	黯沮	c=0 d=0.0594521 t=40058
an zuo yong 	氨作用	c=1 d=1.54693e-06 t=40058
ang 	昂	c=0 d=0.0599871 t=40058
ang yang 	昂揚	c=0 d=0.0460704 t=40058
ang yang dou zhi 	昂揚鬥志	c=1 d=0.463013 t=40058
ao 	奧	c=1 d=0.490572 t=40058
ao 	熬	c=1 d=0.551563 t=40058
ao de 	奧的	c=-1 d=1.39528e-07 t=40058
ao guo 	熬過	c=1 d=0.543351 t=40058
ao lin pi ke 	奧林匹克	c=1 d=0.367879 t=40058
ao men 	澳門	c=1 d=0.436049 t=40058
ao mi 	奧祕	c=1 d=5.36921e-08 t=40058
ao si ka 	奧斯卡	c=1 d=0.147342 t=40058
ao tang 	熬湯	c=1 d=0.000147748 t=40058
ao ti zhong xin 	奧體中心	c=3 d=1.02865 t=40058
ao tou 	鰲頭	c=0 d=0.000843808 t=40058
ao yan 	奧衍	c=-1 d=1.05199e-08 t=40058
ao ye 	熬夜	c=5 d=0.559898 t=40058
ao you 	遨遊	c=0 d=1.12592e-14 t=40058
ba 	八	c=0 d=0.0170333 t=40058
ba 	吧	c=91 d=4.65342 t=40058
ba 	把	c=26 d=4.05433 t=40058
ba 	拔	c=0 d=1.88927e-15 t=40058
ba 	灞	c=0 d=5.66199e-16 t=40058
ba 	罷	c=0 d=4.95663e-14 t=40058
ba 	霸	c=0 d=0.0814647 t=40058
ba 	靶	c=0 d=0.0606549 t=40058
ba bi tuo 	巴比妥	c=0 d=2.04558e-09 t=40058
ba cheng 	八成	c=1 d=0.353455 t=40058
ba da 	八大	c=0 d=0.0143704 t=40058
ba ge 	八個	c=1 d=0.839457 t=40058
ba hai zi he zang shui yi qi po diao 	把孩子和髒水一起潑掉	c=-1 d=1.07583e-07 t=40058
ba he 	巴赫	c=1 d=0.484325 t=40058
ba ji yin 	靶基因	c=1 d=0.118837 t=40058
ba jian 	拔劍	c=0 d=5.21318e-15 t=40058
ba jian si gu xin mang ran 	拔劍四顧心茫然	c=1 d=5.23932e-14 t=40058
ba jie 	巴結	c=1 d=0.0399551 t=40058
ba jiu wen yue 	把酒問月	c=1 d=2.33075e-14 t=40058
ba mei 	靶酶	c=1 d=0.0639279 t=40058
ba shi 	八十	c=1 d=6.37845e-05 t=40058
ba shu 	巴蜀	c=0 d=0.0806541 t=40058
ba si wang chang an 	灞涘望長安	c=1 d=5.69037e-15 t=40058
ba wang bie ji 	霸王別姬	c=1 d=1 t=40058
ba wo 	把握	c=3 d=1.90729 t=40058
ba wo du 	把握度	c=1 d=3.19319e-12 t=40058
ba wo hao 	把握好	c=2 d=1.42964 t=40058
ba wo hao du 	把握好度	c=1 d=0.690734 t=40058
ba xi bao 	靶細胞	c=1 d=0.878095 t=40058
ba xiang 	八項	c=0 d=0.0321422 t=40058
ba xiang gui ding 	八項規定	c=1 d=0.323033 t=40058
ba xiang shu song 	靶向輸送	c=1 d=7.82971e-05 t=40058
ba ye 	霸業	c=0 d=0.088692 t=40058
ba ye tu wang zai tian fu 	霸業圖王在天府	c=1 d=0.891366 t=40058
ba yue 	八月	c=0 d=1.67478e-09 t=40058
ba yue hu shui ping 	八月湖水平	c=1 d=1.68317e-08 t=40058
ba yue shi wu 	八月十五	c=1 d=0.67032 t=40058
ba zhe xie 	把這些	c=1 d=0.060205 t=40058
ba zhen tu 	八陣圖	c=1 d=1.54027e-14 t=40058
bai 	柏	c=1 d=0.574072 t=40058
bai 	白	c=3 d=0.855709 t=40058
bai 	百	c=0 d=4.11075e-14 t=40058
bai bu 	百步	c=0 d=3.27459e-15 t=40058
bai bu jiu zhe ying yan luan 	百步九折縈岩巒	c=1 d=3.291e-14 t=40058
bai cao ku 	百草枯	c=1 d=1.97079e-11 t=40058
bai da 	百搭	c=1 d=0.00332928 t=40058
bai dang 	白當	c=1 d=0.806541 t=40058
bai deng 	白登	c=0 d=4.86075e-15 t=40058
bai di 	白帝	c=0 d=0.0895834 t=40058
bai di tuo gu kan 	白帝託孤堪	c=1 d=0.900325 t=40058
bai dian 	白點	c=1 d=0.603506 t=40058
bai dian 	百點	c=1 d=0.600496 t=40058
bai du 	百度	c=1 d=0.162838 t=40058
bai fa 	白髮	c=0 d=1.60191e-15 t=40058
bai fen 	百分	c=0 d=1.64336e-11 t=40058
bai fen bi 	百分比	c=2 d=0.223916 t=40058
bai fen lv 	百分率	c=1 d=0.67032 t=40058
bai fen tiao tu 	百分條圖	c=1 d=9.56811e-11 t=40058
bai fen wei shu 	百分位數	c=1 d=6.94787e-11 t=40058
bai fen zhi 	百分之	c=2 d=0.574072 t=40058
bai hua wen 	白話文	c=1 d=2.07148e-09 t=40058
bai huo 	百貨	c=2 d=0.628609 t=40058
bai jia xing 	百家姓	c=1 d=0.00778933 t=40058
bai kai 	掰開	c=1 d=0.00362464 t=40058
bai ke 	百科	c=1 d=0.170333 t=40058
bai lu 	白露	c=0 d=9.71116e-10 t=40058
bai lu 	白鷺	c=0 d=2.27321e-15 t=40058
bai lu heng jiang 	白露橫江	c=1 d=8.1759e-14 t=40058
bai lu zhan ye cao 	白露沾野草	c=1 d=9.75975e-09 t=40058
bai ma 	白馬	c=0 d=2.62791e-15 t=40058
bai nian 	百年	c=0 d=1.53909e-15 t=40058
bai nian duo bing du deng tai 	百年多病獨登臺	c=1 d=1.54681e-14 t=40058
bai ri 	白日	c=0 d=6.64102e-10 t=40058
bai ri li 	白日麗	c=1 d=5.74756e-15 t=40058
bai se 	白色	c=2 d=3.80258e-08 t=40058
bai sha 	白沙	c=0 d=4.03978e-15 t=40058
bai she 	擺設	c=1 d=0.470011 t=40058
bai shou 	白首	c=0 d=2.91886e-15 t=40058
bai shou tai xuan jing 	白首太玄經	c=1 d=2.93349e-14 t=40058
bai shou zhi xin 	白首之心	c=0 d=3.70101e-14 t=40058
bai shui 	白水	c=0 d=5.59118e-15 t=40058
bai shui rao dong cheng 	白水繞東城	c=1 d=5.61922e-14 t=40058
bai sui 	白髓	c=1 d=0.0168231 t=40058
bai tian 	白天	c=2 d=0.895834 t=40058
bai tou 	白頭	c=0 d=1.47874e-15 t=40058
bai tou sao geng duan 	白頭搔更短	c=1 d=1.48615e-14 t=40058
bai tu dao yao 	白兔搗藥	c=0 d=2.42587e-15 t=40058
bai tu dao yao qiu fu chun 	白兔搗藥秋覆春	c=1 d=2.43804e-14 t=40058
bai tuo 	擺脫	c=1 d=0.0665368 t=40058
bai wan 	百萬	c=1 d=0.423162 t=40058
bai wan yuan 	百萬元	c=1 d=0.084163 t=40058
bai xi bao 	白細胞	c=2 d=0.281042 t=40058
bai xi bao fen hua kang yuan 	白細胞分化抗原	c=1 d=0.860708 t=40058
bai xi bao jie su 	白細胞介素	c=1 d=0.856415 t=40058
bai xiong 	白熊	c=2 d=1.0975e-28 t=40058
bai xue bing 	白血病	c=1 d=3.0448e-11 t=40058
bai yu 	百餘	c=0 d=7.67728e-10 t=40058
bai yun 	白雲	c=0 d=3.49849e-14 t=40058
bai yun yi pian qu you you 	白雲一片去悠悠	c=1 d=4.24691e-14 t=40058
bai zai 	擺在	c=1 d=0.444858 t=40058
bai zu 	白族	c=1 d=0.0513033 t=40058
ban 	伴	c=1 d=0.0769118 t=40058
ban 	半	c=4 d=0.701783 t=40058
ban 	坂	c=0 d=1.41709e-14 t=40058
ban 	搬	c=3 d=0.0344735 t=40058
ban 	板	c=0 d=0.000245409 t=40058
ban 	版	c=2 d=0.766719 t=40058
ban 	辦	c=4 d=1.17463 t=40058
ban bao liu 	半保留	c=-1 d=6.36632e-12 t=40058
ban bao liu fu zhi 	半保留複製	c=1 d=4.25428e-05 t=40058
ban ben 	版本	c=17 d=3.11885 t=40058
ban bi 	半壁	c=0 d=2.0061e-15 t=40058
ban bi jian hai ri 	半壁見海日	c=1 d=2.01616e-14 t=40058
ban bi xu an ji suan 	半必需氨基酸	c=1 d=2.70703e-10 t=40058
ban bu lian xu fu zhi 	半不連續複製	c=1 d=4.2756e-05 t=40058
ban dao 	搬到	c=1 d=0.554327 t=40058
ban dao le 	搬到了	c=1 d=0.0448245 t=40058
ban deng 	板凳	c=1 d=2.96146e-08 t=40058
ban dong xi 	搬東西	c=1 d=0.687289 t=40058
ban dong xi 	辦東西	c=-1 d=3.6902e-08 t=40058
ban dui shu 	半對數	c=1 d=9.71272e-11 t=40058
ban fa 	辦法	c=2 d=0.431711 t=40058
ban ge 	半個	c=2 d=0.851612 t=40058
ban gong 	辦公	c=1 d=0.0911727 t=40058
ban gong lou 	辦公樓	c=1 d=0.017249 t=40058
ban gong shi 	辦公室	c=2 d=0.0611149 t=40058
ban gong ting 	辦公廳	c=1 d=0.0188734 t=40058
ban guang an suan 	半胱氨酸	c=6 d=0.0748464 t=40058
ban hao 	辦好	c=2 d=1.70948e-05 t=40058
ban kang yuan 	半抗原	c=1 d=0.0443785 t=40058
ban le 	辦了	c=1 d=0.449329 t=40058
ban li 	辦理	c=3 d=1.03445 t=40058
ban li shou xu 	辦理手續	c=1 d=0.182684 t=40058
ban lv 	伴侶	c=0 d=0.00916297 t=40058
ban ma 	班馬	c=0 d=5.76146e-15 t=40058
ban ni zhong sheng 	伴你終生	c=1 d=0.726149 t=40058
ban po 	半坡	c=2 d=1.58653e-05 t=40058
ban po yi zhi 	半坡遺址	c=1 d=0.0902655 t=40058
ban qiao 	板橋	c=0 d=6.35204e-16 t=40058
ban quan 	版權	c=1 d=2.44859e-06 t=40058
ban ru tang 	半乳糖	c=2 d=0.423093 t=40058
ban ru tang an 	半乳糖胺	c=1 d=0.357007 t=40058
ban shan 	半扇	c=1 d=0.00559994 t=40058
ban shang 	半晌	c=0 d=0.00230521 t=40058
ban shang bu ye 	半晌不夜	c=1 d=0.0231676 t=40058
ban shi chu 	辦事處	c=1 d=0.771052 t=40058
ban shi shi 	辦實事	c=1 d=0.251579 t=40058
ban shuai qi 	半衰期	c=1 d=0.272532 t=40058
ban shui 	辦稅	c=0 d=0.0214381 t=40058
ban sui 	伴隨	c=1 d=0.313486 t=40058
ban wan 	辦完	c=0 d=0.0501576 t=40058
ban wan le 	辦完了	c=1 d=0.50409 t=40058
ban wan quan dan bai 	半完全蛋白	c=1 d=2.8175e-10 t=40058
ban wen 	斑紋	c=1 d=3.82164e-08 t=40058
ban xian wei su 	半纖維素	c=1 d=4.05865e-10 t=40058
ban xue tiao jian 	辦學條件	c=0 d=0.0208045 t=40058
ban ye 	半夜	c=0 d=0.0923116 t=40058
ban zhang 	班長	c=1 d=0.506617 t=40058
ban zhu 	版主	c=2 d=0.423162 t=40058
bang 	幫	c=2 d=0.67368 t=40058
bang ding 	綁定	c=2 d=0.719546 t=40058
bang fu 	幫扶	c=1 d=0.776274 t=40058
bang fu li du 	幫扶力度	c=1 d=0.213312 t=40058
bang mang 	幫忙	c=2 d=0.00257991 t=40058
bang ni 	幫你	c=1 d=0.0262523 t=40058
bang ta 	幫他	c=1 d=0.472367 t=40058
bang wan 	傍晚	c=1 d=0.0146253 t=40058
bang zhe 	幫着	c=2 d=0.291638 t=40058
bang zhuang 	棒狀	c=1 d=0.240508 t=40058
bang zi 	棒子	c=1 d=8.1086e-05 t=40058
bao 	包	c=17 d=3.3438 t=40058
bao 	報	c=8 d=1.09842 t=40058
bao 	寶	c=0 d=0.0165299 t=40058
bao 	抱	c=0 d=1.13157e-14 t=40058
bao 	胞	c=0 d=1.48489e-05 t=40058
bao biao 	報表	c=1 d=0.113608 t=40058
bao che 	包車	c=1 d=0.204948 t=40058
bao chi 	保持	c=7 d=1.89359 t=40058
bao chi bu bian 	保持不變	c=1 d=0.000542133 t=40058
bao chi gou tong 	保持溝通	c=1 d=0.00152616 t=40058
bao chi jing ji 	保持經濟	c=1 d=0.0507928 t=40058
bao chi ke zhi 	保持克制	c=1 d=0.00136037 t=40058
bao chi le 	保持了	c=1 d=0.351692 t=40058
bao chi qiang jing 	保持強勁	c=1 d=0.404542 t=40058
bao chi zheng ce lian xu xing 	保持政策連續性	c=1 d=0.697676 t=40058
bao cun 	保存	c=14 d=1.90567 t=40058
bao fa 	暴發	c=1 d=1.26621e-12 t=40058
bao feng 	暴風	c=1 d=4.78252e-29 t=40058
bao fu 	包袱	c=1 d=0.97531 t=40058
bao gan 	胞苷	c=1 d=0.119235 t=40058
bao gan suan 	胞苷酸	c=1 d=0.0992613 t=40058
bao gao 	報告	c=5 d=1.00614 t=40058
bao gao gao 	報告稿	c=1 d=0.333741 t=40058
bao gao lv ti gao 	報告率提高	c=1 d=1.15145e-12 t=40058
bao gao pian yi 	報告偏倚	c=1 d=7.43368e-12 t=40058
bao guang 	暴光	c=1 d=0.00618889 t=40058
bao gui 	寶貴	c=0 d=0.00862936 t=40058
bao guo 	報國	c=0 d=3.89077e-14 t=40058
bao han 	包含	c=4 d=0.729846 t=40058
bao han yu 	包含於	c=1 d=0.759572 t=40058
bao he 	飽和	c=2 d=0.159349 t=40058
bao he xiao ying 	飽和效應	c=1 d=0.0395575 t=40058
bao he xing 	飽和型	c=1 d=0.375311 t=40058
bao he xing 	飽和性	c=1 d=0.377192 t=40058
bao hu 	保護	c=4 d=0.891366 t=40058
bao hu huan jing 	保護環境	c=2 d=0.616184 t=40058
bao hu lv 	保護率	c=1 d=6.42681e-12 t=40058
bao hu sheng chan li 	保護生產力	c=1 d=0.402524 t=40058
bao hu sheng tai huan jing 	保護生態環境	c=1 d=0.38868 t=40058
bao hu zuo yong 	保護作用	c=1 d=0.0151463 t=40058
bao jian 	保健	c=0 d=0.0329559 t=40058
bao jian 	胞間	c=2 d=0.900325 t=40058
bao jiang 	胞漿	c=1 d=0.687289 t=40058
bao jiang 	褒獎	c=1 d=0.683861 t=40058
bao kuo 	包括	c=22 d=2.10941 t=40058
bao le 	報了	c=1 d=0.102797 t=40058
bao liu 	保留	c=1 d=0.794534 t=40058
bao liu le 	保留了	c=1 d=0.000678925 t=40058
bao lu 	暴露	c=16 d=0.438186 t=40058
bao lu chu lai 	暴露出來	c=1 d=0.99005 t=40058
bao lu dui lie 	暴露隊列	c=1 d=2.86057e-12 t=40058
bao lu huai yi pian yi 	暴露懷疑偏倚	c=1 d=7.47095e-12 t=40058
bao lu pian yi 	暴露偏倚	c=1 d=4.28886e-12 t=40058
bao lu ping jia 	暴露評價	c=1 d=1.50058e-10 t=40058
bao lu ren qun 	暴露人羣	c=1 d=3.29295e-12 t=40058
bao lu sheng wu biao zhi 	暴露生物標誌	c=1 d=1.25339e-10 t=40058
bao lu shi jian 	暴露時間	c=24 d=1.21195 t=40058
bao lu tu jing 	暴露途徑	c=1 d=1.3783e-10 t=40058
bao mai zai 	包埋在	c=1 d=0.0254765 t=40058
bao mi ding 	胞嘧啶	c=5 d=1.07902 t=40058
bao ming 	報名	c=10 d=2.13866 t=40058
bao ming fei 	報名費	c=3 d=0.114178 t=40058
bao ming yue er chang zhong 	抱明月而長終	c=1 d=1.13724e-13 t=40058
bao mo 	包膜	c=0 d=0.000291401 t=40058
bao mo hua 	包膜化	c=1 d=0.00153381 t=40058
bao nei 	胞內	c=3 d=0.840606 t=40058
bao nei xin hao chuan dao 	胞內信號傳導	c=1 d=0.000149233 t=40058
bao pu 	抱朴	c=2 d=1.49283 t=40058
bao rong 	包容	c=3 d=0.735112 t=40058
bao rong shen shen 	包容審慎	c=12 d=6.27515 t=40058
bao rong xing 	包容性	c=3 d=0.10993 t=40058
bao rong xing zeng zhang 	包容性增長	c=1 d=0.064894 t=40058
bao shan 	寶扇	c=0 d=9.38184e-16 t=40058
bao shan ying gui jiu hua zhang 	寶扇迎歸九華帳	c=1 d=9.42887e-15 t=40058
bao shi 	報時	c=1 d=0.618895 t=40058
bao shou 	保守	c=1 d=0.100259 t=40058
bao ting 	保亭	c=1 d=0.00697795 t=40058
bao wen 	保溫	c=1 d=0.543351 t=40058
bao xian 	保險	c=1 d=0.132673 t=40058
bao xiang 	包廂	c=1 d=0.447088 t=40058
bao xiang 	寶箱	c=1 d=0.449329 t=40058
bao xiao 	報銷	c=2 d=6.78066e-05 t=40058
bao xiu 	保修	c=3 d=1.53493 t=40058
bao yang 	保養	c=1 d=0.913931 t=40058
bao yu 	保育	c=1 d=0.00856561 t=40058
bao yu 	暴雨	c=1 d=5.33862e-29 t=40058
bao yuan 	抱怨	c=1 d=0.506617 t=40058
bao zhang 	保障	c=3 d=0.0934807 t=40058
bao zhang neng li 	保障能力	c=1 d=0.0365162 t=40058
bao zhang xing 	保障型	c=1 d=0.970446 t=40058
bao zheng 	保證	c=4 d=1.07948 t=40058
bao zheng jian kang de zhi ye jie chu xian zhi 	保證健康的職業接觸限值	c=1 d=4.25646e-11 t=40058
bao zhi 	報紙	c=2 d=0.0124757 t=40058
bao zhi 	胞質	c=2 d=0.50409 t=40058
bao zhi xiao 	胞質小	c=1 d=0.70822 t=40058
bei 	倍	c=3 d=0.792098 t=40058
bei 	北	c=8 d=4.76767 t=40058
bei 	唄	c=8 d=1.59514 t=40058
bei 	悲	c=0 d=8.57058e-10 t=40058
bei 	盃	c=0 d=3.21353e-15 t=40058
bei 	背	c=2 d=0.882497 t=40058
bei 	被	c=41 d=3.19165 t=40058
bei an 	備案	c=0 d=0.0479505 t=40058
bei an zhi 	備案製	c=1 d=0.481909 t=40058
bei biao ji 	被標記	c=1 d=0.755784 t=40058
bei chen 	北辰	c=0 d=3.34881e-14 t=40058
bei cheng wei 	被稱爲	c=3 d=0.860708 t=40058
bei dong 	被動	c=0 d=1.80775e-12 t=40058
bei dong jian ce 	被動監測	c=1 d=8.13374e-12 t=40058
bei dong mian yi 	被動免疫	c=0 d=9.93458e-13 t=40058
bei dou 	北斗	c=1 d=0.802519 t=40058
bei er 	倍兒	c=0 d=0.0239309 t=40058
bei er you 	倍兒有	c=1 d=0.240508 t=40058
bei fang 	北方	c=1 d=0.327915 t=40058
bei fen 	備份	c=2 d=1.01643 t=40058
bei feng 	悲風	c=0 d=1.14294e-14 t=40058
bei hai 	北海	c=0 d=3.7947e-14 t=40058
bei hai sui she 	北海雖賒	c=1 d=3.81373e-13 t=40058
bei ji 	背脊	c=1 d=1 t=40058
bei jia 	倍加	c=0 d=0.0878095 t=40058
bei jia zhen xi 	倍加珍惜	c=1 d=0.882497 t=40058
bei jing 	北京	c=7 d=1.86679 t=40058
bei jing 	背景	c=5 d=0.0454 t=40058
bei jing gan rao 	背景干擾	c=1 d=0.429557 t=40058
bei jing zhi 	背景值	c=1 d=1.91717e-10 t=40058
bei jiu 	杯酒	c=0 d=0.00066709 t=40058
bei lie 	卑劣	c=1 d=0.463013 t=40058
bei men 	北門	c=6 d=1.53226 t=40058
bei men wai 	北門外	c=1 d=0.955997 t=40058
bei mo 	被膜	c=1 d=0.0712859 t=40058
bei mo ting 	杯莫停	c=2 d=0.97531 t=40058
bei mo ting 	盃莫停	c=-1 d=2.57097e-21 t=40058
bei pan lang ji 	杯盤狼藉	c=1 d=1.36152e-13 t=40058
bei qiu 	悲秋	c=0 d=1.53141e-15 t=40058
bei shang guang 	北上廣	c=1 d=0.0333733 t=40058
bei shi wei 	被視爲	c=1 d=0.219808 t=40058
bei shu 	倍數	c=1 d=0.290835 t=40058
bei shui 	被誰	c=0 d=0.00430669 t=40058
bei yong 	備用	c=1 d=0.00331267 t=40058
bei yong jin 	備用金	c=0 d=0.0348192 t=40058
bei you 	倍有	c=1 d=0.242926 t=40058
bei zeng 	倍增	c=1 d=0.818731 t=40058
bei zhe 	背着	c=1 d=0.878095 t=40058
bei zi 	杯子	c=1 d=0.995012 t=40058
bei zi 	被子	c=1 d=0.00711891 t=40058
ben 	本	c=10 d=0.930075 t=40058
ben 	笨	c=2 d=0.894441 t=40058
ben 	苯	c=2 d=8.72497e-10 t=40058
ben bi 	本幣	c=0 d=0.0860708 t=40058
ben bi jie suan 	本幣結算	c=1 d=0.865022 t=40058
ben bing an suan 	苯丙氨酸	c=2 d=0.00181803 t=40058
ben ci 	本次	c=2 d=0.0862936 t=40058
ben da suan 	本打算	c=1 d=0.136695 t=40058
ben di 	本地	c=3 d=0.241714 t=40058
ben fen 	本分	c=1 d=0.301316 t=40058
ben ke 	本科	c=4 d=0.151072 t=40058
ben lai 	本來	c=5 d=1.03841 t=40058
ben liu 	奔流	c=0 d=1.58596e-15 t=40058
ben liu dao hai bu fu hui 	奔流到海不復回	c=1 d=1.59391e-14 t=40058
ben liu dao yi 	本留到以	c=1 d=1 t=40058
ben liu de yi 	本留得以	c=-1 d=0 t=40058
ben ma 	奔馬	c=0 d=0.00911727 t=40058
ben shen 	本身	c=7 d=0.794534 t=40058
ben sheng 	本生	c=-1 d=1.19494e-07 t=40058
ben shu 	本書	c=1 d=0.680451 t=40058
ben xi wu 	苯系物	c=1 d=0.56836 t=40058
ben xiang 	本想	c=1 d=0.00546167 t=40058
ben yan jiu 	本研究	c=1 d=0.00918669 t=40058
ben zhe 	奔着	c=1 d=0.433874 t=40058
ben zhe 	本着	c=3 d=0.821019 t=40058
ben zhi 	本質	c=5 d=0.424857 t=40058
ben zhi he zong zhi 	本質和宗旨	c=1 d=0.344728 t=40058
ben zi 	本子	c=1 d=0.00951391 t=40058
ben zi 	本字	c=1 d=0.427415 t=40058
ben zou 	奔走	c=0 d=0.0865022 t=40058
beng 	崩	c=2 d=0.568647 t=40058
beng cui 	崩摧	c=0 d=2.09843e-15 t=40058
bi 	壁	c=0 d=0.0970446 t=40058
bi 	彼	c=0 d=1.04675e-09 t=40058
bi 	比	c=19 d=1.79568 t=40058
bi 	碧	c=0 d=5.29197e-15 t=40058
bi 	蔽	c=0 d=6.64102e-10 t=40058
bi 	避	c=0 d=7.43977e-15 t=40058
bi bang 	臂膀	c=1 d=0.433874 t=40058
bi cheng 	鄙誠	c=0 d=4.63486e-14 t=40058
bi ci 	彼此	c=3 d=0.486986 t=40058
bi da ge la si 	畢達哥拉斯	c=2 d=0.36553 t=40058
bi da ge la si ding li 	畢達哥拉斯定理	c=1 d=0.160414 t=40058
bi ding 	必定	c=1 d=0.985112 t=40058
bi guan 	閉關	c=1 d=0.802519 t=40058
bi guan 	閉館	c=1 d=0.806541 t=40058
bi hao 	敝號	c=-2 d=3.20811e-08 t=40058
bi huo xing 	比活性	c=1 d=0.946485 t=40058
bi ji 	筆記	c=3 d=0.927743 t=40058
bi ji ben 	筆記本	c=8 d=0.697676 t=40058
